hour,1,2,3,4,5,6,7,8,9,10,11,12
0,1.4471101200470118,1.3598841624292433,0.971161203665591,0.801204510857399,1.0031477934963933,1.388682896798747,1.481641066747547,1.3444692692649327,1.0763590329079922,0.7801289889295698,1.0740059659726888,1.3899378777703162
1,1.3558525856279386,1.2094483474047784,0.860077731320003,0.6750084172822925,0.8131241253060078,1.1640501790911129,1.2561709525769627,1.1330995905457228,0.889689209760466,0.6595375766372757,0.9552862995298861,1.247247113239022
2,1.2831589722480994,1.1304599563465416,0.8224069087285255,0.625906760689501,0.7048419809787909,1.0177465860756663,1.1120614073095174,1.0032268138391216,0.7855223304231029,0.6056901037717457,0.8981119319453775,1.1621840161182007
3,1.2781646699451898,1.1269248057181238,0.8243971923135253,0.6170311842399823,0.6366303971056566,0.911333881799866,1.010180539006478,0.9164990901016057,0.7192933512424449,0.5890725427327284,0.8952107006939783,1.1503666240603136
4,1.2987656145063804,1.153294408999329,0.8667626898329689,0.6432301208865012,0.6080237981758706,0.8416116856950976,0.935289401850127,0.8527306484109276,0.6778121446160735,0.6014697567105008,0.9163060443250506,1.1729846725448996
5,1.37348756472194,1.2273869807157252,0.9377931930934382,0.6961552496082385,0.6086587989341192,0.8043373964629509,0.8900575185770925,0.8192776814922337,0.6650503469890309,0.6410778721376115,0.9751846541302892,1.23888043501809
6,1.4735383565501858,1.3219907056509645,1.0399685760090125,0.783632549809716,0.6484773716934945,0.7977182784866804,0.8725502935505538,0.8203376156329213,0.6843774121334232,0.713523267401807,1.056735359301545,1.3280469897528113
7,1.6089264498797637,1.449236724071765,1.1857011742022145,0.9191087754645177,0.7453276934075698,0.8691737183792257,0.9223484369245437,0.8706617236075308,0.7470137564360871,0.8286199874347367,1.1743962502798302,1.4554131371996797
8,1.794672404081545,1.6347188669289079,1.324381583223207,1.0219217819565707,0.8606289347689511,1.010908171032013,1.0497508611538382,0.9757567213327849,0.8387356055518248,0.9384273381139109,1.3268767517349456,1.627059305877511
9,1.9185277519010384,1.7508699510697503,1.373145854546243,1.0512561562569962,0.969430750232891,1.186116498768749,1.230034630299617,1.123126345891376,0.9450965413028882,1.0015365150891486,1.394463913140811,1.7420554388093334
10,1.9173982321974052,1.7406539144200333,1.340715147641847,1.0425748936646524,1.067116109534436,1.3450257443474374,1.4100322905608877,1.2813881583223212,1.0566755988359082,1.0253827314283241,1.363222822923663,1.7544932732511542
11,1.8048777269871537,1.6501234889187377,1.2592472215602595,1.01687301320797,1.155126475876861,1.5036417953884043,1.5834173942243122,1.4382090274919306,1.1657561898365796,1.003506152646288,1.2760571524513102,1.6858342143460652
12,1.631030449099851,1.4914840856759095,1.167587599384736,0.998399742556526,1.255741393877684,1.6649934184016122,1.7680120128252352,1.6099217595701818,1.2901405529438106,0.9857813535821837,1.1545340944705624,1.5445210684806867
13,1.473812799237419,1.356374124532285,1.0838040360493082,0.9787026975598839,1.3435648302606213,1.8112284866800992,1.933457516410668,1.7705055243831112,1.423384318334453,0.9752813969106786,1.0635266957689729,1.417059858315822
14,1.3274795056218727,1.2412189988487004,1.0136699560215778,0.9759307588985899,1.4347325007040883,1.9533948847100968,2.0857035139409437,1.925634329166577,1.560045142153571,0.9845934162351875,0.9896217259905982,1.29217857839208
15,1.1832725254013305,1.131532848028399,0.9733883749647958,0.9946122789344082,1.54343754197448,2.10690776807701,2.23738812582595,2.0967880478346594,1.7208273113946726,1.0240425160857043,0.9322428587418853,1.1708339977035902
16,1.0894476700101825,1.0648351602225852,0.983646775276761,1.0647000671591675,1.683480513009381,2.2630363443026646,2.3885248488918744,2.2693909746744954,1.8974617752406542,1.1047594835243402,0.9191180098500116,1.1030807101540332
17,1.0850808293073944,1.0693086923150728,1.049820598366516,1.1839277927020375,1.8484922117030271,2.427293575106336,2.5263051842544257,2.4305128035702688,2.0632655249608245,1.2029806863233612,0.9661783299753753,1.1210842847548697
18,1.1727254381594059,1.1438256859829228,1.1386996252085186,1.2975690620102982,1.9786453995970459,2.5353589097828526,2.605551550076909,2.5090852813102544,2.1566234161629736,1.280284332416214,1.0635308148645626,1.2323792218202305
19,1.334760729218571,1.26448913460616,1.2007792846465484,1.3450036825610034,2.013119564981911,2.5433326729348567,2.594162806819906,2.470652256331377,2.1100809044101196,1.2972334972594732,1.167450134318335,1.396151649732447
20,1.50055771355532,1.3909942674853695,1.2380000649927427,1.3159780949182902,1.9190017656361713,2.4435391090217156,2.4823378756038914,2.3227218418943223,1.951280087306918,1.2808219307177369,1.2556070405193647,1.5419460885201157
21,1.6171051257609574,1.5020949342799583,1.2626397235642026,1.2498778710543994,1.7309201130873726,2.2433751399149324,2.280110216859118,2.1141078879525126,1.7673855719722416,1.2470948677397695,1.3078672710991723,1.6274697892068726
22,1.6522187872354261,1.551897426364771,1.2296842327606756,1.168004779494068,1.538277519010378,1.9929142153570636,2.0529306202474062,1.901266080287702,1.57355569733602,1.1487298251695233,1.2902816207745695,1.6301953248553918
23,1.5901376437964434,1.4972120310851007,1.1034458393812696,1.0006138907544215,1.2928668731991597,1.70507713230356,1.775007030048312,1.63273559869148,1.326123158719499,0.9668810091206486,1.2088164651891655,1.5556961480967966
